team_id,season,blup,pipeline
COL,2023,-0.01636,v2_final_strip_park_speed
COL,2024,0.12328,v2_final_strip_park_speed
COL,2025,-0.13516,v2_final_strip_park_speed
CWS,2015,-0.10147,v2_final_strip_park_speed
CWS,2016,-0.04784,v2_final_strip_park_speed
CWS,2017,0.04393,v2_final_strip_park_speed
CWS,2018,-0.02739,v2_final_strip_park_speed
CWS,2019,-0.08093,v2_final_strip_park_speed
CWS,2020,0.12096,v2_final_strip_park_speed
CWS,2021,-0.05269,v2_final_strip_park_speed
CWS,2022,-0.10785,v2_final_strip_park_speed
CWS,2023,-0.09212,v2_final_strip_park_speed
CWS,2024,-0.17215,v2_final_strip_park_speed
CWS,2025,0.10788,v2_final_strip_park_speed
DET,2015,-0.17545,v2_final_strip_park_speed
DET,2016,-0.24718,v2_final_strip_park_speed
DET,2017,-0.11656,v2_final_strip_park_speed
DET,2018,-0.0714,v2_final_strip_park_speed
DET,2019,-0.26301,v2_final_strip_park_speed
DET,2020,0.11939,v2_final_strip_park_speed
DET,2021,0.04701,v2_final_strip_park_speed
DET,2022,0.14389,v2_final_strip_park_speed
DET,2023,0.13754,v2_final_strip_park_speed
DET,2024,0.12179,v2_final_strip_park_speed
DET,2025,0.04005,v2_final_strip_park_speed
HOU,2015,-0.06744,v2_final_strip_park_speed
HOU,2016,-0.11089,v2_final_strip_park_speed
HOU,2017,0.08569,v2_final_strip_park_speed
HOU,2018,-0.00624,v2_final_strip_park_speed
HOU,2019,0.04007,v2_final_strip_park_speed
HOU,2020,0.10238,v2_final_strip_park_speed
HOU,2021,0.14024,v2_final_strip_park_speed
HOU,2022,0.1326,v2_final_strip_park_speed
HOU,2023,0.06006,v2_final_strip_park_speed
HOU,2024,-0.0679,v2_final_strip_park_speed
HOU,2025,-0.05066,v2_final_strip_park_speed
KC,2015,0.16561,v2_final_strip_park_speed
KC,2016,0.00778,v2_final_strip_park_speed
KC,2017,-0.15271,v2_final_strip_park_speed
KC,2018,-0.0151,v2_final_strip_park_speed
KC,2019,-0.0758,v2_final_strip_park_speed
KC,2020,-0.02587,v2_final_strip_park_speed
KC,2021,0.03618,v2_final_strip_park_speed
KC,2022,-0.03469,v2_final_strip_park_speed
KC,2023,0.01991,v2_final_strip_park_speed
KC,2024,0.0898,v2_final_strip_park_speed
KC,2025,-0.02543,v2_final_strip_park_speed
LAA,2015,-0.20101,v2_final_strip_park_speed
LAA,2016,0.10359,v2_final_strip_park_speed
LAA,2017,0.30875,v2_final_strip_park_speed
LAA,2018,0.0003,v2_final_strip_park_speed
LAA,2019,0.12354,v2_final_strip_park_speed
LAA,2020,-0.0258,v2_final_strip_park_speed
LAA,2021,-0.17933,v2_final_strip_park_speed
LAA,2022,0.05245,v2_final_strip_park_speed
LAA,2023,-0.10861,v2_final_strip_park_speed
LAA,2024,0.00823,v2_final_strip_park_speed
LAA,2025,-0.24529,v2_final_strip_park_speed
LAD,2015,-0.02057,v2_final_strip_park_speed
LAD,2016,-0.01541,v2_final_strip_park_speed
LAD,2017,0.09435,v2_final_strip_park_speed
LAD,2018,0.02721,v2_final_strip_park_speed
LAD,2019,0.14816,v2_final_strip_park_speed
LAD,2020,0.23198,v2_final_strip_park_speed
